host_name,area,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Jocelyn,Khlong Toei,13.73606,100.55934,Entire home/apt,1845,3,129,2021-06-29,1,336,0
Feb,Phra Khanong,13.70396,100.60281,Entire home/apt,1264,180,27,2022-07-14,6,16,1
Nisa,Vadhana,13.73958,100.5865,Entire home/apt,4720,2,252,2020-02-23,2,347,0
Warin,Vadhana,13.73862,100.585,Private room,1049,3,1,2014-01-01,1,365,0
Attakorn,Parthum Wan,13.74551,100.54235,Entire home/apt,3500,5,1,2022-10-08,1,0,1
Kirawut,Vadhana,13.7214,100.58484,Private room,1758,1,0,2021-03-06,1,365,0
Nitchakun,Saphan Sung,13.76276,100.69127,Entire home/apt,1000,1,0,2019-08-03,1,365,0
GrongGaew,Suanluang,13.73786,100.64065,Entire home/apt,1351,30,11,2017-12-30,4,89,0
Sanjay,Khlong Toei,13.72468,100.56838,Private room,3000,1,0,2020-06-15,1,365,0
Nisith,Bang Rak,13.72004,100.5186,Entire home/apt,5500,2,25,2022-12-01,1,338,7
Hataipat,Ratchathewi,13.75156,100.52988,Entire home/apt,1336,5,77,2019-10-28,5,0,0
ISanook Hotel,Bang Rak,13.7319,100.52255,Private room,1800,30,6,2018-07-16,45,320,0
ISanook Hotel,Bang Rak,13.732,100.52294,Private room,2100,30,3,2022-02-07,45,357,1
ISanook Hotel,Bang Rak,13.7332,100.52094,Private room,3900,30,1,2022-08-27,45,330,1
Nicky,Bang Kho laen,13.69945,100.52725,Entire home/apt,950,2,7,2022-12-23,6,86,1
Tienchai,Min Buri,13.78318,100.74785,Private room,1620,30,0,2019-10-01,2,365,0
Tienchai,Min Buri,13.78115,100.7482,Private room,1620,1,0,2016-07-09,2,365,0
Ian,Phra Khanong,13.68469,100.60719,Entire home/apt,1290,30,2,2013-04-17,1,87,0
Naphaporn,Phaya Thai,13.78519,100.5496,Entire home/apt,2000,1,8,2022-12-03,1,360,1
Yair,Suanluang,13.72219,100.6145,Entire home/apt,1004,10,2,2016-11-13,10,365,0
Yair,Suanluang,13.71916,100.63024,Entire home/apt,1004,10,9,2017-03-30,10,365,0
Kasem,Bang Kapi,13.7703,100.63148,Private room,1905,1,0,2017-05-25,3,365,0
